食料品製造業
飲料・飼料製造業
繊維工業
他繊維製品製造
木材木製品製造
家具・装備品
パルプ・紙製造
出版・印刷
化学工業
石油・石炭製品
プラ製品製造業
ゴム製品製造業
革・毛皮製造業
窯業・土石製品
鋼鉄業
非鉄金属製造業
金属製品製造業
一般機械器具
電気機械器具
輸送用機械器具
精密機械器具
武器製造業
その他製造業
